date,sp500,accruals,debt_issuance,investment,low_leverage,low_risk,momentum,profit_growth,profitability,quality,seasonality,short_term_reversal,size,value
2000-01-31,,0.00212208575067138,0.0134617803062802,0.00176489217799878,0.0583116637349532,-0.0253911669757179,0.0284454734116671,-0.000462903051845102,-0.0600108659826472,-0.0307554287150416,0.00133596580663593,-0.00813278943337484,0.0572252571588871,-0.0540973929497757
2000-02-29,-0.020108083256356934,-0.00367124357386929,0.0669433972608831,-0.102687905445439,0.286429727190628,-0.266760687178678,0.231999478572952,0.0198599743911828,-0.141064060343757,0.0248726082519497,0.00664111991798024,-0.0719788802731192,0.0317732021634245,-0.280588200065154
2000-03-31,0.09671982835364812,-0.0158047292110009,-0.026440307590298,0.0464894974080406,-0.172262648630094,0.151067212596252,-0.132738433022106,-0.00491334349824517,0.160460248977622,0.0375613994999534,0.011183430173226,0.110864337175386,0.00783192418632276,0.186778020974797
2000-04-30,-0.030795755780191336,-0.0155211260167038,0.00220490234354698,0.0709445977516719,-0.132060481430608,0.145120080606939,-0.076085396745418,-0.00160192752634244,0.133263776497201,0.0422206231176718,-0.00243101095357564,-0.00919887672737973,0.0124616223803705,0.172240118963251
2000-05-31,-0.021915050603417807,-0.00267356425295861,-0.0069179448168774,0.0758229874725119,-0.10323137859988,0.125489719746501,-0.064314478751917,-0.0178887941994977,0.0742379291677382,-0.00383798875855071,0.00341749668067189,-0.00251398296942905,-0.00317931753381697,0.127260647791755
2000-06-30,0.023933549615877237,-0.00577964441205882,0.0344427223839908,-0.0973548050470542,0.191829158475732,-0.176605340854859,0.049517184964719,0.0420404965918447,-0.107975894327944,0.00137256308794754,-0.021100162717454,0.00555607870336713,0.0084443381111605,-0.196514755329897
2000-07-31,-0.016341275904170893,-0.00697586471691321,-0.00959743737401885,0.0380020102137259,-0.0792560757880683,0.0872041178490144,0.0017895101209379,-0.0183745078784542,0.0530296507205441,-0.00621643529208189,0.00512625956971934,0.0496476642654764,0.00691364152780001,0.0978000439680443
2000-08-31,0.06069910494167097,-0.0191141614573086,0.00312369354057957,-0.0301467014176517,0.0668176999666181,-0.0802259651248694,0.0403375634637013,0.0224808732545322,-0.00786336321381994,-0.00207740303779956,-0.00232693130588672,0.0117663334175072,-0.0302757008710459,-0.0590048383288774
2000-09-30,-0.053482974719764265,-0.00672181983011936,0.00444151268072821,0.0546478310320326,-0.0654979793980817,0.0816739436110207,0.0444507436958595,-0.0258942132706645,0.0342020063713768,0.00109195035617876,0.0127446301196545,0.00276142244010734,-0.0102610748783379,0.0759933101861719
2000-10-31,-0.00494948542177065,0.00285350890059976,0.00462969991832362,0.0709227465436552,-0.102668661152435,0.0912376621873383,-0.0147969150363707,-0.0313176632519937,0.0889805821254844,0.0430874532526684,0.00320619119003325,0.00457240797456058,-0.0174527428196188,0.122159926143757
2000-11-30,-0.08006861010730892,-0.0216936442213968,0.0128748588548896,0.145066623462574,-0.183695536478252,0.221500206792535,0.0275815117433326,-0.0671449661186088,0.116530559206922,0.0344804209870815,0.0231718163148518,-0.020372214049362,0.0150978264705687,0.210586404089055
2000-12-31,0.004053445623728669,0.00385700632035862,-0.00723617831233446,0.0316995281984297,-0.0514703472113989,0.0389462666518825,0.053156580714728,-0.000971458077789948,0.0232108699820447,-0.0136642491196704,0.00289258531237041,0.00734622326860293,-0.0354547129776384,0.0477410909488647
2001-01-31,0.03463657667616449,0.00727669362814934,-0.00337647775054344,-0.066006484756682,0.0829927522573954,-0.132544667189335,-0.222522847063798,-0.020735422029057,-0.0398588348075005,0.00510583257961936,0.0152937172710712,0.0185504481214192,0.129148619898915,-0.0316791709330055
2001-02-28,-0.09229073539585964,-0.015966782472194,0.0136723574793629,0.146156299926128,-0.175745453978211,0.196740632952393,0.167737025923727,-0.0427864195272097,0.0611207432910052,-0.000356424740134096,0.0258243035468155,0.0720571315821695,0.00919560156452654,0.177070887855366
2001-03-31,-0.06420471080339152,-0.0281120988765379,0.0103206219962049,0.0809449313533403,-0.103172665891752,0.104052390146116,0.0679722413645136,0.0127319831992426,0.04361580416483,0.0075125802614668,0.0105005600019536,-0.0236060461052027,0.0050400912025133,0.107483402054018
2001-04-30,0.07681436165439459,0.0137972798887751,-0.0062478257296409,-0.0863204190798941,0.104640520024279,-0.113960508778241,-0.0982925072737447,0.0200512786423936,-0.00266651388132911,0.0312609848351786,-0.00327858569614461,0.0161657010423537,-0.00784267534070543,-0.0815608341160134
2001-05-31,0.005090187401275648,-0.015055773877667,0.0160962939558175,0.0428715572975535,-0.0207957146064336,0.0382967220784321,0.0325074794048772,-0.00747720032725713,-0.0138812631487527,-0.00805008456278499,0.00570179872041264,0.0213017646460509,0.0434510680478527,0.0232083716579745
2001-06-30,-0.02503538942756467,-0.0216161977922202,0.0192933558805057,0.0184769666695314,0.0138131410983534,0.00231185226804503,0.0119744829741426,-0.0139397064115592,-0.0062337832928045,0.00558674824607232,0.00238930310384016,-0.012350519400172,0.0460161999129127,0.00841551837651997
2001-07-31,-0.010740149595403703,0.00304427444067527,0.00320799237104503,0.0574248346207431,-0.0771351284257039,0.0853129762633323,0.0456543312448834,-0.00591488272290875,0.0491996169813631,0.0210382751319863,0.00812432736782745,0.0156732737729884,-0.0212753121047283,0.0768573043512558
2001-08-31,-0.06410840688075747,-0.00864450017599765,0.0142303218708234,0.06131914079117,-0.0577475477638867,0.072879769629434,0.0565294573340646,-0.00260817008872886,0.0170486472028575,0.00746794596968718,0.0190466274684878,-0.00962970110628383,-0.00178739276032423,0.0568114424928942
